,school,district,county,enroll_12,num_takers_12,avg_score_read,avg_score_eng,avg_score_math,avg_score_sci,num_above_benchmark,percent_above_benchmark
1889,Ridgeview High,Kern High,Kern,666,54,19,17,18,19,16,29.63
1890,Rim of the World Senior High,Rim of the World Unified,San Bernardino,209,26,25,24,22,24,19,73.08
1891,Rio Americano High,San Juan Unified,Sacramento,385,84,25,26,25,24,66,78.57
1892,Rio Linda High,Twin Rivers Unified,Sacramento,318,28,20,19,20,20,12,42.86
1893,Rio Mesa High,Oxnard Union High,Ventura,549,37,22,22,22,22,21,56.76
1894,Rio Valley Charter,Lodi Unified,San Joaquin,136,5,7,7,7,7,7,7.0
1895,Rio Vista High,River Delta Joint Unified,Sacramento,106,22,19,19,18,19,7,31.82
1896,Ripon High,Ripon Unified,San Joaquin,190,37,25,23,23,23,31,83.78
1897,River City High,Washington Unified,Yolo,476,54,21,19,20,20,23,42.59
1898,River Oaks Academy,Ventura County Office of Education,Ventura,23,2,7,7,7,7,7,7.0
1899,River Springs Charter,Riverside County Office of Education,Riverside,213,10,7,7,7,7,7,7.0
1900,River Valley Charter,Lakeside Union Elementary,San Diego,50,15,28,26,26,27,15,100.0
1901,River Valley High,Yuba City Unified,Sutter,435,59,23,22,22,23,35,59.32
1902,Riverbank High,Riverbank Unified,Stanislaus,144,2,7,7,7,7,7,7.0
1903,Rivercrest Preparatory,Jurupa Unified,Riverside,31,1,7,7,7,7,7,7.0
1904,Riverdale High,Riverdale Joint Unified,Fresno,124,50,16,15,18,18,7,14.0
1905,Riverside County Education Academy - Indio,Riverside County Office of Education,Riverside,20,0,0,0,0,0,0,0.0
1906,Riverside Preparatory,Oro Grande,San Bernardino,117,17,18,18,17,19,5,29.41
1907,Riverside STEM Academy,Riverside Unified,Riverside,53,22,29,28,25,25,20,90.91
1908,Riverside Virtual,Riverside Unified,Riverside,14,3,7,7,7,7,7,7.0
1909,Robert F. Kennedy High,Delano Joint Union High,Kern,304,54,20,18,20,20,21,38.89
1910,Robert Fulton College Preparatory,Los Angeles Unified,Los Angeles,144,14,7,7,7,7,7,7.0
1911,Rocklin High,Rocklin Unified,Placer,499,164,25,25,25,24,124,75.61
1912,Rocklin Independent Charter Academy,Rocklin Unified,Placer,42,3,7,7,7,7,7,7.0
1913,Ronald E. McNair High,Lodi Unified,San Joaquin,438,62,19,18,20,19,26,41.94
1914,Ronald Reagan Academy,Dinuba Unified,Tulare,80,0,0,0,0,0,0,0.0
1915,Roosevelt High,Fresno Unified,Fresno,447,18,16,14,16,17,1,5.56
1916,Rosamond High Early College Campus,Southern Kern Unified,Kern,194,6,7,7,7,7,7,7.0
1917,Roseland Charter,Roseland,Sonoma,147,89,17,16,18,18,20,22.47
1918,Rosemead High,El Monte Union High,Los Angeles,511,51,26,25,25,24,40,78.43
1919,Rosemont High,Sacramento City Unified,Sacramento,300,32,21,19,20,20,15,46.88
1920,Roseville High,Roseville Joint Union High,Placer,416,110,23,22,22,22,64,58.18
1921,Round Valley High,Round Valley Unified,Mendocino,21,0,0,0,0,0,0,0.0
1922,Royal High,Simi Valley Unified,Ventura,456,55,25,25,24,25,44,80.0
1923,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695,133,25,26,25,25,108,81.2
1924,Rubidoux High,Jurupa Unified,Riverside,350,74,17,17,17,18,14,18.92
1925,S.F. County Opportunity (Hilltop),San Francisco County Office of Education,San Francisco,14,1,7,7,7,7,7,7.0
1926,S.F. International High,San Francisco Unified,San Francisco,100,43,13,12,16,15,1,2.33
1927,Sacramento Charter High,Sacramento City Unified,Sacramento,151,144,17,16,17,17,25,17.36
1928,Saddleback High,Santa Ana Unified,Orange,383,109,18,16,19,18,26,23.85
1929,Sage Creek High,Carlsbad Unified,San Diego,307,103,27,28,27,26,92,89.32
1930,Saint Helena High,Saint Helena Unified,Napa,121,28,25,26,22,23,24,85.71
1931,Salinas High,Salinas Union High,Monterey,646,137,22,21,21,21,70,51.09
1932,Samueli Academy,Orange County Department of Education,Orange,119,26,21,21,20,20,12,46.15
1933,San Benito High,San Benito High,San Benito,744,118,21,20,21,21,52,44.07
1934,San Bernardino High,San Bernardino City Unified,San Bernardino,321,71,20,18,19,19,22,30.99
1935,San Clemente High,Capistrano Unified,Orange,808,310,26,26,25,25,264,85.16
1936,San Diego Business/Leadership,San Diego Unified,San Diego,100,6,7,7,7,7,7,7.0
1937,San Diego International Studies,San Diego Unified,San Diego,286,99,25,24,23,24,70,70.71
1938,San Diego Metro Career and Tech,San Diego Unified,San Diego,38,4,7,7,7,7,7,7.0
1939,San Diego Science and Technology,San Diego Unified,San Diego,157,19,21,20,19,20,6,31.58
1940,San Diego SCPA,San Diego Unified,San Diego,165,13,7,7,7,7,7,7.0
1941,San Diego Virtual,Mountain Empire Unified,San Diego,153,5,7,7,7,7,7,7.0
1942,San Diego Workforce Innovation High,Borrego Springs Unified,San Diego,273,1,7,7,7,7,7,7.0
1943,San Dieguito HS Academy,San Dieguito Union High,San Diego,478,217,27,27,26,25,181,83.41
1944,San Dimas High,Bonita Unified,Los Angeles,324,42,24,23,24,23,27,64.29
1945,San Fernando Senior High,Los Angeles Unified,Los Angeles,458,75,18,17,18,18,16,21.33
1946,San Gabriel High,Alhambra Unified,Los Angeles,527,54,21,20,21,21,24,44.44
1947,San Gorgonio High,San Bernardino City Unified,San Bernardino,450,24,19,19,19,20,8,33.33
1948,San Jacinto High,San Jacinto Unified,Riverside,574,30,19,19,18,18,7,23.33
1949,San Jacinto Valley Academy,San Jacinto Unified,Riverside,66,4,7,7,7,7,7,7.0
1950,San Jose Conservation Corps Charter,East Side Union High,Santa Clara,214,0,0,0,0,0,0,0.0
1951,San Jose High,San Jose Unified,Santa Clara,234,5,7,7,7,7,7,7.0
1952,San Juan Choices Charter,San Juan Unified,Sacramento,74,3,7,7,7,7,7,7.0
1953,San Juan High,San Juan Unified,Sacramento,170,32,19,17,18,18,10,31.25
1954,San Juan Hills High,Capistrano Unified,Orange,580,199,26,26,25,25,158,79.4
1955,San Leandro High,San Leandro Unified,Alameda,662,78,22,21,21,22,44,56.41
1956,San Lorenzo High,San Lorenzo Unified,Alameda,346,48,20,19,20,19,15,31.25
1957,San Lorenzo Valley High,San Lorenzo Valley Unified,Santa Cruz,139,20,26,26,23,25,15,75.0
1958,San Luis Obispo County Community,San Luis Obispo County Office of Education,San Luis Obispo,33,1,7,7,7,7,7,7.0
1959,San Luis Obispo High,San Luis Coastal Unified,San Luis Obispo,370,139,26,25,25,24,113,81.29
1960,San Marcos High,San Marcos Unified,San Diego,748,244,25,24,23,24,172,70.49
1961,San Marcos Senior High,Santa Barbara Unified,Santa Barbara,535,106,25,25,24,25,81,76.42
1962,San Marin High,Novato Unified,Marin,266,107,26,25,25,24,81,75.7
1963,San Marino High,San Marino Unified,Los Angeles,269,95,28,29,29,27,86,90.53
1964,San Mateo High,San Mateo Union High,San Mateo,414,73,28,28,27,27,62,84.93
1965,San Pasqual Academy,San Diego County Office of Education,San Diego,32,3,7,7,7,7,7,7.0
1966,San Pasqual High,Escondido Union High,San Diego,518,98,22,20,21,21,48,48.98
1967,San Pasqual Valley High,San Pasqual Valley Unified,Imperial,42,6,7,7,7,7,7,7.0
1968,San Pedro Senior High,Los Angeles Unified,Los Angeles,480,49,21,20,20,20,23,46.94
1969,San Rafael High,San Rafael City High,Marin,296,84,24,23,23,22,52,61.9
1970,San Ramon Valley High,San Ramon Valley Unified,Contra Costa,502,282,27,27,26,26,244,86.52
1971,San Ysidro High,Sweetwater Union High,San Diego,702,139,18,17,19,18,39,28.06
1972,Sanger High,Sanger Unified,Fresno,734,61,21,19,20,20,26,42.62
1973,Santa Ana High,Santa Ana Unified,Orange,648,85,17,16,18,18,19,22.35
1974,Santa Barbara Senior High,Santa Barbara Unified,Santa Barbara,519,126,25,24,23,23,87,69.05
1975,Santa Clara High,Santa Clara Unified,Santa Clara,430,53,26,26,26,25,41,77.36
1976,Santa Clarita Valley International,William S. Hart Union High,Los Angeles,75,11,7,7,7,7,7,7.0
1977,Santa Cruz County Career Advancement Charter,Santa Cruz County Office of Education,Santa Cruz,106,0,0,0,0,0,0,0.0
1978,Santa Cruz High,Santa Cruz City High,Santa Cruz,268,50,26,25,26,25,44,88.0
1979,Santa Fe High,Whittier Union High,Los Angeles,521,114,21,20,20,20,52,45.61
1980,Santa Maria High,Santa Maria Joint Union High,Santa Barbara,588,93,18,17,19,19,25,26.88
1981,Santa Monica High,Santa Monica-Malibu Unified,Los Angeles,715,244,27,26,25,25,193,79.1
1982,Santa Paula High,Santa Paula Unified,Ventura,372,126,20,18,19,20,44,34.92
1983,Santa Rosa Academy,Menifee Union Elementary,Riverside,113,18,24,24,23,23,13,72.22
1984,Santa Rosa High,Santa Rosa High,Sonoma,458,87,27,25,25,24,71,81.61
1985,Santa Susana High,Simi Valley Unified,Ventura,252,26,28,27,25,26,26,100.0
1986,Santa Teresa High,East Side Union High,Santa Clara,529,67,26,26,25,25,54,80.6
1987,Santa Ynez Valley Union High,Santa Ynez Valley Union High,Santa Barbara,220,50,26,24,22,22,38,76.0
1988,Santana High,Grossmont Union High,San Diego,420,47,21,21,23,21,26,55.32
1989,Santee Education Complex,Los Angeles Unified,Los Angeles,384,24,18,16,17,17,3,12.5
1990,Santiago High,Garden Grove Unified,Orange,533,29,18,18,20,20,10,34.48
1991,Santiago High,Corona-Norco Unified,Riverside,813,179,23,22,22,22,111,62.01
1992,Saratoga High,Los Gatos-Saratoga Joint Union High,Santa Clara,321,121,31,32,31,30,117,96.69
1993,Saugus High,William S. Hart Union High,Los Angeles,546,121,25,23,24,23,91,75.21
1994,SAVA - Sacramento Academic and Vocational Academy,Twin Rivers Unified,Sacramento,7,1,7,7,7,7,7,7.0
1995,SAVA - Sacramento Academic and Vocational Academy - EGUSD,Elk Grove Unified,Sacramento,82,0,0,0,0,0,0,0.0
1996,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Sacramento City Unified,Sacramento,93,0,0,0,0,0,0,0.0
1997,Savanna High,Anaheim Union High,Orange,482,42,20,20,19,19,16,38.1
1998,SCALE Leadership Academy,Acton-Agua Dulce Unified,Los Angeles,12,1,7,7,7,7,7,7.0
1999,Scholar Plus Online Learning,Perris Union High,Riverside,18,0,0,0,0,0,0,0.0
2000,School for Entrepreneurship and Technology,San Diego Unified,San Diego,56,3,7,7,7,7,7,7.0
2001,School for the Visual Arts and Humanities,Los Angeles Unified,Los Angeles,87,6,7,7,7,7,7,7.0
2002,School of Arts and Enterprise,SBE - The School of Arts and Enterprise,Los Angeles,75,8,7,7,7,7,7,7.0
2003,School of Business and Tourism at Contreras Learning Complex,Los Angeles Unified,Los Angeles,104,10,7,7,7,7,7,7.0
2004,School of Engineering & Sciences,Sacramento City Unified,Sacramento,58,2,7,7,7,7,7,7.0
2005,School of Extended Educational Options,Pomona Unified,Los Angeles,243,0,0,0,0,0,0,0.0
2006,School of Unlimited Learning,Fresno Unified,Fresno,66,0,0,0,0,0,0,0.0
2007,Schurr High,Montebello Unified,Los Angeles,619,40,20,21,21,21,20,50.0
2008,Science Technology Engineering Arts and Mathematics at Legacy High School Complex,Los Angeles Unified,Los Angeles,138,46,19,18,19,18,13,28.26
2009,Scotts Valley High,Scotts Valley Unified,Santa Cruz,192,60,27,26,25,25,52,86.67
2010,Scripps Ranch High,San Diego Unified,San Diego,542,203,28,28,27,27,183,90.15
2011,Seaside High,Monterey Peninsula Unified,Monterey,276,34,21,19,20,20,15,44.12
2012,Segerstrom High,Santa Ana Unified,Orange,457,480,17,16,18,17,106,22.08
2013,Selma High,Selma Unified,Fresno,425,12,7,7,7,7,7,7.0
2014,Selma Independent,Selma Unified,Fresno,39,0,0,0,0,0,0,0.0
2015,Sequoia High,Sequoia Union High,San Mateo,486,122,24,23,23,23,77,63.11
2016,Serra High,San Diego Unified,San Diego,369,35,23,23,23,23,21,60.0
2017,Serrano High,Snowline Joint Unified,San Bernardino,444,56,22,21,23,22,34,60.71
2018,Shadow Hills High,Desert Sands Unified,Riverside,528,34,18,17,17,18,7,20.59
2019,Shadow Ridge,Hesperia Unified,San Bernardino,22,1,7,7,7,7,7,7.0
2020,Shafter High,Kern High,Kern,372,44,21,19,20,20,16,36.36
2021,Shandon High,Shandon Joint Unified,San Luis Obispo,18,2,7,7,7,7,7,7.0
2022,Shasta Charter Academy,Shasta Union High,Shasta,73,6,7,7,7,7,7,7.0
2023,Shasta County Independent Study Charter,Shasta County Office of Education,Shasta,53,0,0,0,0,0,0,0.0
2024,Shasta High,Shasta Union High,Shasta,328,46,27,26,25,25,42,91.3
2025,Sheldon High,Elk Grove Unified,Sacramento,614,82,23,21,22,22,47,57.32
2026,Sherman Oaks Center for Enriched Studies,Los Angeles Unified,Los Angeles,232,47,25,25,23,24,31,65.96
2027,Sherman Thomas Charter High,Madera Unified,Madera,13,2,7,7,7,7,7,7.0
2028,SIATech,Vista Unified,San Diego,475,0,0,0,0,0,0,0.0
2029,SIATech Academy South,Acton-Agua Dulce Unified,Los Angeles,90,0,0,0,0,0,0,0.0
2030,Sierra Academy of Expeditionary Learning,Nevada Joint Union High,Nevada,44,1,7,7,7,7,7,7.0
2031,Sierra Charter,Fresno Unified,Fresno,78,0,0,0,0,0,0,0.0
2032,Sierra High,Manteca Unified,San Joaquin,333,35,24,23,22,22,26,74.29
2033,Sierra High,Sierra Unified,Fresno,91,14,7,7,7,7,7,7.0
2034,Sierra Pacific High,Hanford Joint Union High,Kings,175,10,7,7,7,7,7,7.0
2035,Sierra Vista Charter High,Tulare Joint Union High,Tulare,26,0,0,0,0,0,0,0.0
2036,Sierra Vista High,Baldwin Park Unified,Los Angeles,429,108,19,18,19,19,34,31.48
2037,Sierra Vista High (Alternative),Whittier Union High,Los Angeles,143,0,0,0,0,0,0,0.0
2038,Silver Creek High,East Side Union High,Santa Clara,592,50,25,25,26,25,41,82.0
2039,Silver Oak High Public Montessori Charter,Hayward Unified,Alameda,48,11,7,7,7,7,7,7.0
2040,Silver Valley High,Silver Valley Unified,San Bernardino,84,2,7,7,7,7,7,7.0
2041,Silverado High,Victor Valley Union High,San Bernardino,546,71,19,18,17,19,18,25.35
2042,Simi Valley High,Simi Valley Unified,Ventura,537,75,23,24,23,23,50,66.67
2043,Sir Francis Drake High,Tamalpais Union High,Marin,308,84,28,28,25,25,73,86.9
2044,Six Rivers Charter High,Northern Humboldt Union High,Humboldt,18,0,0,0,0,0,0,0.0
2045,Sky Mountain Charter,Lucerne Valley Unified,San Bernardino,70,1,7,7,7,7,7,7.0
2046,Skyline High,Oakland Unified,Alameda,398,66,22,21,20,20,33,50.0
2047,SLVUSD Charter,San Lorenzo Valley Unified,Santa Cruz,16,1,7,7,7,7,7,7.0
2048,SOAR High (Students On Academic Rise),Antelope Valley Union High,Los Angeles,86,34,23,22,22,21,21,61.76
2049,Social Justice Leadership Academy at Esteban E. Torres High No. 5,Los Angeles Unified,Los Angeles,90,8,7,7,7,7,7,7.0
2050,Soledad High,Soledad Unified,Monterey,374,69,18,16,17,18,14,20.29
2051,Sonia Sotomayor Arts and Sciences Academies,Los Angeles Unified,Los Angeles,108,0,0,0,0,0,0,0.0
2052,Sonoma Valley High,Sonoma Valley Unified,Sonoma,279,47,25,24,23,23,31,65.96
2053,Sonora High,Sonora Union High,Tuolumne,218,11,7,7,7,7,7,7.0
2054,Sonora High,Fullerton Joint Union High,Orange,410,68,24,23,23,23,51,75.0
2055,Soquel High,Santa Cruz City High,Santa Cruz,269,81,25,23,22,22,50,61.73
2056,South East High,Los Angeles Unified,Los Angeles,368,152,19,18,17,18,43,28.29
2057,South El Monte High,El Monte Union High,Los Angeles,278,57,19,19,19,20,21,36.84
2058,South Fork Junior - Senior High,Southern Humboldt Joint Unified,Humboldt,50,9,7,7,7,7,7,7.0
2059,South Gate Senior High,Los Angeles Unified,Los Angeles,528,224,18,17,17,18,52,23.21
2060,South High,Kern High,Kern,508,31,18,18,20,19,9,29.03
2061,South High,Torrance Unified,Los Angeles,550,139,25,25,26,25,116,83.45
2062,South Hills High,Covina-Valley Unified,Los Angeles,401,17,23,23,22,23,10,58.82
2063,South Pasadena Senior High,South Pasadena Unified,Los Angeles,369,93,28,27,27,27,78,83.87
2064,South San Francisco High,South San Francisco Unified,San Mateo,292,20,22,23,25,23,14,70.0
2065,South Sutter Charter,Marcum-Illinois Union Elementary,Sutter,140,6,7,7,7,7,7,7.0
2066,South Tahoe High,Lake Tahoe Unified,El Dorado,239,54,23,22,22,22,32,59.26
2067,Southwest High,Central Union High,Imperial,513,116,18,17,19,19,32,27.59
2068,Southwest Senior High,Sweetwater Union High,San Diego,482,73,18,17,18,19,21,28.77
2069,Stagg Senior High,Stockton Unified,San Joaquin,368,18,19,18,19,19,5,27.78
2071,Steele Canyon High,Grossmont Union High,San Diego,511,125,24,23,23,24,94,75.2
2072,Stellar Charter,Redding Elementary,Shasta,19,0,0,0,0,0,0,0.0
2073,STEM Academy at Bernstein High,Los Angeles Unified,Los Angeles,124,44,19,19,18,19,15,34.09
2074,Stockdale High,Kern High,Kern,550,99,25,25,24,23,70,70.71
2075,Stockton Collegiate International Secondary,Stockton Unified,San Joaquin,48,2,7,7,7,7,7,7.0
2076,Stockton Early College Academy,Stockton Unified,San Joaquin,99,72,23,21,21,20,38,52.78
2077,Stockton High,Stockton Unified,San Joaquin,159,0,0,0,0,0,0,0.0
2078,Strathmore High,Porterville Unified,Tulare,78,11,7,7,7,7,7,7.0
2079,Street Academy (Alternative),Oakland Unified,Alameda,23,5,7,7,7,7,7,7.0
2080,Success One!,Glenn County Office of Education,Glenn,58,0,0,0,0,0,0,0.0
2081,Sultana High,Hesperia Unified,San Bernardino,429,21,21,19,21,21,13,61.9
2082,Summerville High,Summerville Union High,Tuolumne,84,12,7,7,7,7,7,7.0
2083,Summit Charter Academy,Burton Elementary,Tulare,81,5,7,7,7,7,7,7.0
2084,Summit High,Fontana Unified,San Bernardino,556,512,17,15,17,17,79,15.43
2085,Summit Leadership Academy-High Desert,Hesperia Unified,San Bernardino,34,1,7,7,7,7,7,7.0
2086,Summit Preparatory Charter High,Sequoia Union High,San Mateo,95,43,21,21,20,22,18,41.86
2087,Summit Public School: Rainier,East Side Union High,Santa Clara,105,38,20,20,20,20,15,39.47
2088,Summit Public School: Shasta,Jefferson Union High,San Mateo,101,49,23,22,21,22,34,69.39
2089,Summit Public School: Tahoma,Santa Clara County Office of Education,Santa Clara,96,31,22,22,21,22,15,48.39
2090,Summit View Independent Study,Riverside Unified,Riverside,132,0,0,0,0,0,0,0.0
2091,Sun Valley High,Los Angeles Unified,Los Angeles,85,1,7,7,7,7,7,7.0
2092,Sun Valley Magnet,Los Angeles Unified,Los Angeles,71,29,18,17,19,19,7,24.14
2093,Sunny Hills High,Fullerton Joint Union High,Orange,563,119,26,27,27,26,99,83.19
2094,Sunnyside High,Fresno Unified,Fresno,620,120,18,17,17,18,26,21.67
2095,Sunset High (Continuation),San Dieguito Union High,San Diego,63,5,7,7,7,7,7,7.0
2096,Susan H. Nelson,Temecula Valley Unified,Riverside,137,2,7,7,7,7,7,7.0
2097,Susan Miller Dorsey Senior High,Los Angeles Unified,Los Angeles,230,48,16,15,16,15,4,8.33
2098,Sutter High,Sutter Union High,Sutter,171,22,25,22,24,23,17,77.27
2099,Sutter Peak Charter Academy,Nuestro Elementary,Sutter,20,0,0,0,0,0,0,0.0
2100,SVUSD Virtual Academy (Alternative),Saddleback Valley Unified,Orange,23,0,0,0,0,0,0,0.0
2101,Sweetwater High,Sweetwater Union High,San Diego,732,96,20,19,19,20,38,39.58
2102,Sweetwater Secondary,SBE - Sweetwater Secondary,San Diego,78,0,0,0,0,0,0,0.0
2103,Sylmar Biotech Health Academy,Los Angeles Unified,Los Angeles,57,11,7,7,7,7,7,7.0
2104,Sylmar Charter High,Los Angeles Unified,Los Angeles,361,45,20,18,19,19,15,33.33
2105,Synergy Quantum Academy,Los Angeles Unified,Los Angeles,125,15,19,19,20,19,6,40.0
2106,Taft Charter High,Los Angeles Unified,Los Angeles,498,80,24,23,22,23,54,67.5
2107,Taft High,Sanger Unified,Fresno,24,0,0,0,0,0,0,0.0
2108,Taft Union High,Taft Union High,Kern,204,35,21,18,19,19,11,31.43
2109,Tahoe Truckee High,Tahoe-Truckee Unified,Placer,173,45,26,26,25,25,39,86.67
2110,Tahquitz High,Hemet Unified,Riverside,386,28,19,17,18,19,7,25.0
2111,Tamalpais High,Tamalpais Union High,Marin,376,145,29,29,26,27,135,93.1
2112,Tamiscal High (Alternative),Tamalpais Union High,Marin,45,7,7,7,7,7,7,7.0
2113,Taylion High Desert Academy/Adelanto,Adelanto Elementary,San Bernardino,142,1,7,7,7,7,7,7.0
2114,TEACH Tech Charter High,Los Angeles Unified,Los Angeles,70,14,7,7,7,7,7,7.0
2115,Technology High,Cotati-Rohnert Park Unified,Sonoma,76,24,27,27,26,25,20,83.33
2116,Tehachapi High,Tehachapi Unified,Kern,280,14,7,7,7,7,7,7.0
2117,Tehama eLearning Academy,Tehama County Department of Education,Tehama,25,0,0,0,0,0,0,0.0
2118,Temecula Preparatory,Temecula Valley Unified,Riverside,78,20,26,25,22,23,15,75.0
2119,Temecula Valley High,Temecula Valley Unified,Riverside,642,215,23,22,22,23,133,61.86
2120,Temescal Canyon High,Lake Elsinore Unified,Riverside,496,63,21,20,20,20,30,47.62
2121,Temple City High,Temple City Unified,Los Angeles,492,90,27,27,27,26,80,88.89
2122,Templeton High,Templeton Unified,San Luis Obispo,171,69,24,24,22,23,50,72.46
2123,Templeton Independent Study High,Templeton Unified,San Luis Obispo,26,0,0,0,0,0,0,0.0
2124,Tennyson High,Hayward Unified,Alameda,338,13,7,7,7,7,7,7.0
2125,Terra Linda High,San Rafael City High,Marin,300,56,25,24,23,23,39,69.64
2126,Terra Nova High,Jefferson Union High,San Mateo,208,23,27,26,25,26,19,82.61
2127,Tesoro High,Capistrano Unified,Orange,668,259,26,26,25,25,209,80.69
2128,The Education Corps,Inyo County Office of Education,Inyo,79,0,0,0,0,0,0,0.0
2129,The High School at Moorpark College,Moorpark Unified,Ventura,23,4,7,7,7,7,7,7.0
2130,The MET,Sacramento City Unified,Sacramento,60,6,7,7,7,7,7,7.0
2131,The O'Farrell Charter,San Diego Unified,San Diego,125,97,19,18,19,20,27,27.84
2132,Theodore Bird High,Sonora Union High,Tuolumne,28,0,0,0,0,0,0,0.0
2133,Theodore Roosevelt Senior High,Los Angeles Unified,Los Angeles,306,68,16,15,16,16,9,13.24
2134,Thirty-Second Street USC Performing Arts,Los Angeles Unified,Los Angeles,73,11,7,7,7,7,7,7.0
2135,Thomas Downey High,Modesto City High,Stanislaus,479,69,21,20,21,21,31,44.93
2136,Thomas Jefferson Senior High,Los Angeles Unified,Los Angeles,116,50,15,14,16,16,1,2.0
2137,Thomas Riley High,Los Angeles Unified,Los Angeles,16,0,0,0,0,0,0,0.0
2138,Thousand Oaks High,Conejo Valley Unified,Ventura,528,119,27,26,26,26,103,86.55
2139,Thurgood Marshall,Compton Unified,Los Angeles,57,0,0,0,0,0,0,0.0
2140,Tokay High,Lodi Unified,San Joaquin,490,92,21,20,22,22,45,48.91
2141,Tomales High,Shoreline Unified,Marin,37,4,7,7,7,7,7,7.0
2142,Torrance High,Torrance Unified,Los Angeles,509,105,24,23,23,23,71,67.62
2143,Torrey Pines High,San Dieguito Union High,San Diego,627,355,28,28,28,28,326,91.83
2144,Trabuco Hills High,Saddleback Valley Unified,Orange,669,152,26,26,26,25,126,82.89
2145,Tracy High,Tracy Joint Unified,San Joaquin,455,60,24,24,23,23,41,68.33
2146,Tranquillity High,Golden Plains Unified,Fresno,120,19,15,14,15,15,0,0.0
2147,Trinity High,Trinity Alps Unified,Trinity,91,15,24,24,23,23,11,73.33
2148,Trivium Charter,Blochman Union Elementary,Santa Barbara,24,3,7,7,7,7,7,7.0
2149,Trona High,Trona Joint Unified,San Bernardino,17,0,0,0,0,0,0,0.0
2150,Troy High,Fullerton Joint Union High,Orange,624,178,30,30,30,29,170,95.51
2151,Tulare Union High,Tulare Joint Union High,Tulare,382,66,21,19,21,20,28,42.42
2152,Tulare Western High,Tulare Joint Union High,Tulare,417,93,20,18,18,19,29,31.18
2153,Tulelake High,Tulelake Basin Joint Unified,Modoc,25,15,18,15,17,18,1,6.67
2154,Turlock High,Turlock Unified,Stanislaus,543,53,24,22,22,22,36,67.92
2155,Tustin Connect,Tustin Unified,Orange,17,0,0,0,0,0,0,0.0
2156,Tustin High,Tustin Unified,Orange,577,164,21,18,20,20,70,42.68
2157,Twain High,San Diego Unified,San Diego,196,1,7,7,7,7,7,7.0
2158,Twentynine Palms High,Morongo Unified,San Bernardino,172,5,7,7,7,7,7,7.0
2159,UCLA Community K-12,Los Angeles Unified,Los Angeles,91,21,18,16,18,18,4,19.05
2160,Ukiah High,Ukiah Unified,Mendocino,365,22,25,23,23,22,15,68.18
2161,Ukiah Independent Study Academy,Ukiah Unified,Mendocino,34,1,7,7,7,7,7,7.0
2162,Ulysses S. Grant Senior High,Los Angeles Unified,Los Angeles,432,41,21,21,21,21,22,53.66
2163,Union Mine High,El Dorado Union High,El Dorado,259,48,24,23,22,22,32,66.67
2164,University City High,San Diego Unified,San Diego,459,115,27,27,26,26,101,87.83
2165,University High,Fresno Unified,Fresno,120,86,28,28,25,26,79,91.86
2166,University High,Irvine Unified,Orange,633,233,29,29,29,28,219,93.99
2167,University High School Charter,Los Angeles Unified,Los Angeles,336,58,21,21,20,20,25,43.1
2168,University Prep,Dehesa Elementary,San Diego,20,0,0,0,0,0,0,0.0
2169,University Preparatory,Shasta Union High,Shasta,127,24,28,27,27,27,21,87.5
2170,University Preparatory,Victor Valley Union High,San Bernardino,164,43,22,22,22,21,24,55.81
2171,University Preparatory Academy Charter,Santa Clara County Office of Education,Santa Clara,99,33,27,28,27,27,27,81.82
2172,University Preparatory High,Tulare County Office of Education,Tulare,50,13,7,7,7,7,7,7.0
2173,University Preparatory Value High,Los Angeles Unified,Los Angeles,113,34,18,16,18,18,7,20.59
2174,Upland High,Upland Unified,San Bernardino,764,62,21,21,21,21,30,48.39
2175,Uplift California North Charter,Bradley Union Elementary,Monterey,83,0,0,0,0,0,0,0.0
2176,Uplift California Santa Barbara,Cuyama Joint Unified,Santa Barbara,186,0,0,0,0,0,0,0.0
2177,Uplift California South Charter,Bradley Union Elementary,Monterey,31,0,0,0,0,0,0,0.0
2178,Uplift Monterey,Bradley Union Elementary,Monterey,17,0,0,0,0,0,0,0.0
2179,Upper Lake High,Upper Lake Unified,Lake,74,18,18,16,17,17,4,22.22
2180,Urban Corps of San Diego County Charter,Mono County Office of Education,Mono,285,0,0,0,0,0,0,0.0
2181,Vacaville High,Vacaville Unified,Solano,431,58,22,22,22,22,34,58.62
2182,Val Verde Academy,Val Verde Unified,Riverside,62,0,0,0,0,0,0,0.0
2183,Valencia High,William S. Hart Union High,Los Angeles,714,163,25,25,25,24,129,79.14
2184,Valencia High,Placentia-Yorba Linda Unified,Orange,663,173,23,22,24,23,95,54.91
2185,Valhalla High,Grossmont Union High,San Diego,565,85,25,24,24,24,67,78.82
2186,Valiant Academy of Los Angeles,Acton-Agua Dulce Unified,Los Angeles,88,0,0,0,0,0,0,0.0
2187,Valiant Academy of Southern California,Dehesa Elementary,San Diego,131,0,0,0,0,0,0,0.0
2188,Valiant Santa Barbara,Cuyama Joint Unified,Santa Barbara,6,1,7,7,7,7,7,7.0
2189,Vallejo High,Vallejo City Unified,Solano,361,12,7,7,7,7,7,7.0
2190,Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,262,30,21,20,19,20,10,33.33
2191,Valley Center High,Valley Center-Pauma Unified,San Diego,267,50,22,21,21,22,25,50.0
